Designator,Mid X,Mid Y,Rotation,Layer
J3,-1.54,23.88,-90,bottom
J8,1,-0.02,0,bottom
C1,-5.98,-13.92,180,top
C2,-3.8,-1.92,-90,top
C3,6.8201,-14.52,180,top
C4,-5.78,3.18,0,top
C5,4.7,20.58,0,top
C6,-22.6,-14.895,-90,top
C7,-17.8,-14.895,-90,top
C8,17.355,20.28,0,top
C9,-20.2,-14.895,-90,top
C10,-20.84,-10.75,90,top
C11,1.1,21.18,180,top
C12,-15.4,-14.77,-90,top
C13,7.4,17.055,90,top
C14,-10.034375,15.683125,-90,top
C15,-17.396875,11.245625,90,top
C16,-12.634375,9.583125,0,top
C17,-13,-14.77,-90,top
C18,17.355,18.68,0,top
C19,-19.18,17.98,0,top
C21,0.49,-6.56,-90,top
C22,7.58,22.98,180,top
C23,17.39,13.32,90,top
C24,-17.1,-8.02,0,top
C26,-1.685982,3.46,-90,top
C27,4.51,-9.67,0,top
C29,4.53,-8.57,0,top
C33,-6.085982,7.488707,90,top
C34,-5.085982,7.488707,90,top
C35,-6.244025,1.768454,90,top
C36,-5.244025,1.768454,90,top
C41,-10.549843,-8.72,-90,top
C42,2.3375,17.105,90,top
C43,-5.4125,21.7475,90,top
C44,-2.5125,16.5975,0,top
C45,-2.6125,18.0975,-90,top
C46,-6.6625,22.3175,90,top
C47,-8.2,17.58,-90,top
C48,0.4,4.28,90,top
C51,-9.03,-8.72,-90,top
C53,0.754734,-1.910024,-90,top
C54,0.68,2.78,180,top
C56,-1.245266,-1.910024,90,top
C57,-0.245266,-1.890024,90,top
D1,3.5,-16.32,180,top
D2,14.876931,-12.160588,180,top
D3,15.84,-13.64,180,top
D4,1.49,-13.02,180,top
D5,16.92,-16.08,180,top
D6,0.51,-11.56,180,top
D7,-19.01,14.79,0,top
FB1,6.9375,24.38,180,top
J1,-15.55,-24.43,0,top
J4,23.71,8.37,0,top
J10,-13.3,0.98,-90,top
L2,-13.76,-9.85,180,top
Q1,22.6,-12.0075,0,top
Q2,22.6,-15.4825,0,top
R1,-11,-14.145,90,top
R2,-0.53,-6.59,90,top
R3,-19.2,15.88,180,top
R4,0.51,7.07,90,top
R5,-0.5,7.07,-90,top
R10,-19.21,16.98,0,top
R11,6.8001,-15.62,0,top
R12,1.6375,19.88,180,top
R13,14.03,-16.22,180,top
R14,0.72,-16.12,-90,top
R15,-3.35,-16.73,0,top
R16,15.01,12.08,180,top
R17,13.01,12.08,0,top
R18,11.09,12.08,0,top
R20,20.1,-11.9575,90,top
R21,20.1,-15.8575,-90,top
R22,0.7875,17.105,90,top
R24,7.2,-9.27708,90,top
R25,8.2,-9.27708,90,top
R26,18.5,13.32,-90,top
R27,-0.7625,17.1175,-90,top
R29,-6.8,-11.42,90,top
R32,-2.3625,20.5925,-90,top
R33,-4.1125,22.3175,90,top
R34,-9.59,14.18,0,top
R35,-18.634375,11.305,90,top
SW1,-21.8,13.07,-90,top
SW3,-13.5,23.68,180,top
SW6,-13.5,20.08,0,top
SW7,22.1,13.48,0,top
SW8,22.1,16.88,0,top
U1,-3.8,-11.56,90,top
U3,10.3126,-12.77,90,top
U4,4.8875,17.6675,0,top
U5,14.6725,19.38,90,top
U9,-18.2625,-10.27,0,top
U12,-5.2125,18.9475,0,top
U13,-13.734375,13.345625,90,top
U14,11.5,1.78,90,top
U15,-2.6,0.28,180,top
U16,-2.785982,5.768707,180,top
USB1,-1.02,-20.54,0,top
USB2,10.8801,-20.54,0,top
